State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total,state_name_raw,state_code,state_canonical,constituency_name,constituency_type,category_clean,total_recomputed,total_missing,total_diff
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Nominated,18.0,5.0,0.0,23.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Candidates - Nominated,23.0,False,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Nomination Rejected,7.0,1.0,0.0,8.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Candidates - Nomination Rejected,8.0,False,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Withdrawn,2.0,0.0,0.0,2.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Candidates - Withdrawn,2.0,False,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Contested,9.0,4.0,0.0,13.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Candidates - Contested,13.0,False,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Forfeited Deposit,9.0,2.0,0.0,11.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Candidates - Forfeited Deposit,11.0,False,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - General,753690.0,800809.0,111.0,1554610.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Electors - General,1554610.0,False,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - Overseas,19.0,4.0,0.0,23.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Electors - Overseas,23.0,False,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - Service,2379.0,141.0,0.0,2520.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Electors - Service,2520.0,False,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - Total,756088.0,800954.0,111.0,1557153.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Electors - Total,1557153.0,False,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - General,560845.0,582168.0,0.0,1143013.0,Andhra Pradesh,S01,Andhra Pradesh,Araku,ST,Voters - General,1143013.0,False,0.0
