State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Nominated,18.0,5.0,0.0,23.0
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Nomination Rejected,7.0,1.0,0.0,8.0
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Withdrawn,2.0,0.0,0.0,2.0
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Contested,9.0,4.0,0.0,13.0
Andhra Pradesh-S01,Araku-ST,S01_1,Candidates - Forfeited Deposit,9.0,2.0,0.0,11.0
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - General,753690.0,800809.0,111.0,1554610.0
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - Overseas,19.0,4.0,0.0,23.0
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - Service,2379.0,141.0,0.0,2520.0
Andhra Pradesh-S01,Araku-ST,S01_1,Electors - Total,756088.0,800954.0,111.0,1557153.0
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - General,560845.0,582168.0,0.0,1143013.0
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Overseas,0.0,0.0,0.0,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Proxy,,,,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Postal,,,,22774.0
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Total,,,,1165787.0
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,,,,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Voters - Polling Percentage,,,,74.87
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Total Votes Polled On Evm,,,,1143013.0
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Total Deducted Votes From Evm,,,,50205.0
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Total Valid Votes Polled On Evm,,,,1092808.0
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Postal Votes Counted,,,,22774.0
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Postal Votes Deducted,,,,1607.0
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Valid Postal Votes,,,,21167.0
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Total Valid Votes Polled,,,,1113975.0
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Test Votes Polled On Evm,,,,0.0
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Votes Polled For 'Nota'(Including Postal),,,,50470.0
Andhra Pradesh-S01,Araku-ST,S01_1,Votes - Tendered Votes,,,,2.0
Andhra Pradesh-S01,Araku-ST,S01_1,Polling Station - Number,,,,2052.0
Andhra Pradesh-S01,Araku-ST,S01_1,Polling Station - Average Electors Per Polling,,,,759.0
Andhra Pradesh-S01,Araku-ST,S01_1,Polling Station - Dates(S) Of Re-Poll If Any,,,,
Andhra Pradesh-S01,Araku-ST,S01_1,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,,,,
Andhra Pradesh-S01,Araku-ST,S01_1,Dates - Polling Date - 13/05/2024,,,,
Andhra Pradesh-S01,Araku-ST,S01_1,Dates - Counting Date - 04/06/2024,,,,
Andhra Pradesh-S01,Araku-ST,S01_1,"Dates - Declaration Of
Result Date - 04/06/2024",,,,
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,,,,
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Candidate -Winner: - Gumma Thanuja Rani,,,,
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Winner - Votes ,,,,477005.0
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Party Runner-Up: - Bharatiya Janata Party,,,,
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Candidate Runner-Up: - Kothapalli Geetha,,,,426425.0
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Candidate Votes ,,,,
Andhra Pradesh-S01,Araku-ST,S01_1,Result - Votes- Margin,,,,50580.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Candidates - Nominated,13.0,3.0,0.0,16.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Candidates - Nomination Rejected,1.0,2.0,0.0,3.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Candidates - Withdrawn,0.0,0.0,0.0,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Candidates - Contested,12.0,1.0,0.0,13.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Candidates - Forfeited Deposit,10.0,1.0,0.0,11.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Electors - General,806732.0,824255.0,116.0,1631103.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Electors - Overseas,63.0,8.0,0.0,71.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Electors - Service,14963.0,549.0,0.0,15512.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Electors - Total,821758.0,824812.0,116.0,1646686.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - General,583434.0,630675.0,14.0,1214123.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Overseas,5.0,0.0,0.0,5.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Proxy,,,,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Postal,,,,27041.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Total,,,,1241169.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,,,,5216.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Polling Percentage,,,,75.37
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Votes Polled On Evm,,,,1214128.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Deducted Votes From Evm,,,,29714.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Valid Votes Polled On Evm,,,,1184414.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Postal Votes Counted,,,,27041.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Postal Votes Deducted,,,,374.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Valid Postal Votes,,,,26667.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Valid Votes Polled,,,,1211081.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Test Votes Polled On Evm,,,,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Votes Polled For 'Nota'(Including Postal),,,,24605.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Tendered Votes,,,,0.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Number,,,,2049.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Average Electors Per Polling,,,,804.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Dates(S) Of Re-Poll If Any,,,,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,,,,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Dates - Polling Date - 13/05/2024,,,,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Dates - Counting Date - 04/06/2024,,,,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,"Dates - Declaration Of
Result Date - 04/06/2024",,,,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,,,,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Candidate -Winner: - Gumma Thanuja Rani,,,,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Winner - Votes ,,,,477005.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Party Runner-Up: - Bharatiya Janata Party,,,,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Candidate Runner-Up: - Kothapalli Geetha,,,,426427.0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Candidate Votes ,,,,
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Votes- Margin,,,,327901.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Nominated,17.0,1.0,0.0,18.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Nomination Rejected,2.0,1.0,0.0,3.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Withdrawn,0.0,0.0,0.0,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Contested,15.0,0.0,0.0,15.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Forfeited Deposit,13.0,0.0,0.0,13.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - General,785568.0,799460.0,90.0,1585118.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - Overseas,74.0,14.0,0.0,88.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - Service,5482.0,306.0,0.0,5788.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - Total,791124.0,799780.0,90.0,1590994.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - General,636780.0,648518.0,24.0,1285322.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Overseas,0.0,0.0,0.0,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Proxy,,,,1.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Postal,,,,22310.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Total,,,,1307633.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,,,,6612.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Polling Percentage,,,,82.19
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Votes Polled On Evm,,,,1285322.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Deducted Votes From Evm,,,,29709.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Valid Votes Polled On Evm,,,,1255613.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Postal Votes Counted,,,,22310.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Postal Votes Deducted,,,,1931.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Valid Postal Votes,,,,20379.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Total Valid Votes Polled,,,,1275992.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Test Votes Polled On Evm,,,,0.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Votes Polled For 'Nota'(Including Postal),,,,23250.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Votes - Tendered Votes,,,,37.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Number,,,,1886.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Average Electors Per Polling,,,,844.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Dates(S) Of Re-Poll If Any,,,,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,,,,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Dates - Polling Date - 13/05/2024,,,,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Dates - Counting Date - 04/06/2024,,,,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,"Dates - Declaration Of
Result Date - 04/06/2024",,,,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,,,,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Candidate -Winner: - Gumma Thanuja Rani,,,,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Winner - Votes ,,,,477005.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Party Runner-Up: - Bharatiya Janata Party,,,,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Candidate Runner-Up: - Kothapalli Geetha,,,,493762.0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Candidate Votes ,,,,
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Votes- Margin,,,,249351.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Candidates - Nominated,31.0,8.0,0.0,39.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Candidates - Nomination Rejected,3.0,3.0,0.0,6.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Candidates - Withdrawn,0.0,0.0,0.0,0.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Candidates - Contested,28.0,5.0,0.0,33.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Candidates - Forfeited Deposit,27.0,4.0,0.0,31.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Electors - General,947832.0,978641.0,114.0,1926587.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Electors - Overseas,571.0,144.0,1.0,716.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Electors - Service,3876.0,219.0,0.0,4095.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Electors - Total,952279.0,979004.0,115.0,1931398.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - General,666337.0,704168.0,41.0,1370546.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Overseas,12.0,2.0,0.0,14.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Proxy,,,,0.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Postal,,,,20570.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Total,,,,1391130.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,,,,3765.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Polling Percentage,,,,72.03
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Total Votes Polled On Evm,,,,1370560.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Total Deducted Votes From Evm,,,,8936.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Total Valid Votes Polled On Evm,,,,1361624.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Postal Votes Counted,,,,20570.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Postal Votes Deducted,,,,382.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Valid Postal Votes,,,,20188.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Total Valid Votes Polled,,,,1381812.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Test Votes Polled On Evm,,,,0.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Votes Polled For 'Nota'(Including Postal),,,,5313.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Tendered Votes,,,,0.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Polling Station - Number,,,,1962.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Polling Station - Average Electors Per Polling,,,,984.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Polling Station - Dates(S) Of Re-Poll If Any,,,,
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,,,,
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Dates - Polling Date - 13/05/2024,,,,
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Dates - Counting Date - 04/06/2024,,,,
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,"Dates - Declaration Of
Result Date - 04/06/2024",,,,
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,,,,
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Candidate -Winner: - Gumma Thanuja Rani,,,,
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Winner - Votes ,,,,477005.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Party Runner-Up: - Bharatiya Janata Party,,,,
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Candidate Runner-Up: - Kothapalli Geetha,,,,403220.0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Candidate Votes ,,,,
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Votes- Margin,,,,504247.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Candidates - Nominated,21.0,4.0,0.0,25.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Candidates - Nomination Rejected,1.0,2.0,0.0,3.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Candidates - Withdrawn,6.0,1.0,0.0,7.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Candidates - Contested,14.0,1.0,0.0,15.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Candidates - Forfeited Deposit,12.0,1.0,0.0,13.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Electors - General,779819.0,816949.0,33.0,1596801.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Electors - Overseas,94.0,21.0,0.0,115.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Electors - Service,4278.0,171.0,0.0,4449.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Electors - Total,784191.0,817141.0,33.0,1601365.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - General,638070.0,671515.0,16.0,1309601.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - Overseas,0.0,0.0,0.0,0.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - Proxy,,,,0.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - Postal,,,,19125.0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - Total,,,,1328726.0
