fiscal_year,state,state_size,gdp_share,unit,notes
2023-24,Andhra Pradesh,Large,9.7,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together
2023-24,Assam,Large,1.9,gdp_share in percentage,
2023-24,Bihar,Large,4.3,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together
2023-24,Chhattisgarh,Large,1.7,gdp_share in percentage,
2023-24,Delhi,Large,3.6,gdp_share in percentage,
2023-24,Andaman and Nicobar Islands,Small,0.04,gdp_share in percentage,gdp_share: data is for 2022-23
2023-24,Arunachal Pradesh,Small,0.1,gdp_share in percentage,gdp_share: data is for 2022-23
2023-24,Chandigarh,Small,0.2,gdp_share in percentage,gdp_share: data is for 2022-23
2023-24,Goa,Small,0.3,gdp_share in percentage,gdp_share: data is for 2022-23
2023-24,Gujarat,Large,8.1,gdp_share in percentage,gdp_share: data is for 2022-23
2023-24,Haryana,Large,3.6,gdp_share in percentage,
2023-24,Himachal Pradesh,Small,0.7,gdp_share in percentage,
2023-24,Jammu and Kashmir,Small,0.8,gdp_share in percentage,
2023-24,Jharkhand,Large,1.5,gdp_share in percentage,
2023-24,Karnataka,Large,8.2,gdp_share in percentage,
2023-24,Kerala,Large,3.8,gdp_share in percentage,
2023-24,Madhya Pradesh,Large,6.1,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together
2023-24,Maharashtra,Large,13.3,gdp_share in percentage,
2023-24,Manipur,Small,0.1,gdp_share in percentage,gdp_share: data is for 2022-23
2023-24,Meghalaya,Small,0.2,gdp_share in percentage,
2023-24,Mizoram,Small,0.1,gdp_share in percentage,gdp_share: data is for 2022-23
2023-24,Nagaland,Small,0.1,gdp_share in percentage,gdp_share: data is for 2022-23
2023-24,Odisha,Large,2.8,gdp_share in percentage,
2023-24,Punjab,Large,2.4,gdp_share in percentage,
2023-24,Rajasthan,Large,5.0,gdp_share in percentage,
2023-24,Tamil Nadu,Large,8.9,gdp_share in percentage,
2023-24,Telangana,Large,4.9,gdp_share in percentage,
2023-24,Uttar Pradesh,Large,9.5,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together
