S. No.,State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
(1),(2),(3),(4),(5),(6),(7),(8'),(9),('10),('11),('12),('13),('14),('15)
1,Andhra Pradesh ,379402,411404,464272,524976,604229,684416,786135,873721,925839,978581,1148471,1303524,1439674
2,Arunachal Pradesh,11063,12547,14581,17959,18509,19902,22475,25335,30024,30525,34775,39630,
3,Assam,143175,156864,177745,195723,227959,254382,283165,309336,346851,339803,411454,493167,565401
4,Bihar,247144,282368,317101,342951,371602,421051,468746,527976,581855,567263,650302,751396,
5,Chhattisgarh,158074,177511,206833,221118,225163,262802,282737,327107,344672,352328,410525,464399,505887
6,Goa,42367,38120,35921,47814,55054,62976,69352,71853,75032,74158,84266,93672,
7,Gujarat,615606,724495,807623,921773,1029010,1167156,1329095,1492156,1617143,1616106,1928683,2230609,
8,Haryana,297539,347032,399268,437145,495504,561424,638832,698940,738052,729079,868905,984055,1095535
9,Himachal Pradesh,72720,82820,94764,103772,114239,125634,138551,148383,159164,151601,172162,191728,207430
10,Jharkhand,150918,174724,188567,218525,206613,236250,269816,305695,310305,296664,358863,393722,
11,Karnataka,606010,695413,816666,913923,1045168,1207608,1333240,1479391,1615827,1641460,1978094,2269995,2500733
12,Kerala,364048,412313,465041,512564,561994,634886,701588,788286,812935,771724,934542,1046188,
13,Madhya Pradesh,315562,380925,439483,479939,541068,649823,726284,829805,927855,946628,1092964,1246471,1363327
14,Maharashtra,1280369,1459629,1649647,1779138,1966225,2198185,2352782,2528854,2657371,2627542,3108022,,
15,Manipur,12915,13743,16182,18129,19531,21294,25789,27388,29813,29776,36594,,
16,Meghalaya,19918,21872,22938,23235,25117,27439,29508,32176,34770,33776,38785,42697,47381
17,Mizoram,7259,8362,10293,13509,15139,17192,19385,21912,24990,23923,27824,,
18,Nagaland,12177,14121,16612,18401,19524,21722,24393,26527,29716,29832,31038,35643,
19,Odisha,230987,261700,296475,314250,328550,392804,440395,498611,537502,540150,662886,753177,832790
20,Punjab,266628,297734,332147,355102,390087,426988,471014,512510,537031,540853,617192,676164,736423
21,Rajasthan,434837,493551,551031,615642,681482,760587,832529,911519,1000032,1017329,1193489,1365849,1524030
22,Sikkim,11165,12338,13862,15407,18034,20687,25971,28402,31441,33018,37557,42756,
23,Tamil Nadu,751486,854825,968530,1072678,1176500,1302639,1465051,1630209,1743144,1788074,2071286,2364514,2700109
24,Telangana,359434,401594,451580,505849,577902,658325,750050,857427,950090,943078,1124204,1308034,1463960
25,Tripura,19208,21663,25593,29533,35938,39479,43716,49823,54151,53504,62550,72636,
26,Uttar Pradesh,724050,822393,940356,1011790,1137808,1288700,1439925,1582180,1700062,1644946,1975595,2258040,2547861
27,Uttarakhand,115328,131613,149074,161439,177163,195125,220222,230327,239263,225617,267143,303781,346206
28,West Bengal,520485,591465,676849,718082,797300,872527,974700,1102054,1179127,1141802,1329238,1531758,1700939
29,Andaman & Nicobar Islands,3978,4421,5023,5477,6032,6836,7890,9003,9765,9310,10371,,
30,Chandigarh,18768,21609,24822,26549,29275,32427,36344,40139,43421,39416,46096,54285,
31,Delhi,343798,391388,443960,494803,550804,616085,677900,738389,792911,744277,881336,1014688,1107746
32,Jammu & Kashmir-UT*,78256,87138,95621,98367,117168,124848,139709,159859,164103,167793,193352,224226,246465
33,Puducherry,16818,18875,21870,22574,26617,29573,32129,34171,36999,36180,43810,49643,
