_id,State,PC No,PC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share,vote_share_pct,state_raw,state_canonical,election_year_clean,rank_clean
1,Andhra Pradesh,1,Araku (ST),1,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470.0,5535.0,477005.0,40.96,40.96,Andhra Pradesh,Andhra Pradesh,2024,1
2,Andhra Pradesh,1,Araku (ST),2,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113.0,9312.0,426425.0,36.62,36.62,Andhra Pradesh,Andhra Pradesh,2024,2
3,Andhra Pradesh,1,Araku (ST),3,APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),119016.0,4113.0,123129.0,10.57,10.57,Andhra Pradesh,Andhra Pradesh,2024,3
4,Andhra Pradesh,1,Araku (ST),4,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858.0,892.0,25750.0,2.21,2.21,Andhra Pradesh,Andhra Pradesh,2024,4
5,Andhra Pradesh,1,Araku (ST),5,SAMAREDDY BALAKRISHNA,Independent,9493.0,42.0,9535.0,0.82,0.82,Andhra Pradesh,Andhra Pradesh,2024,5
6,Andhra Pradesh,1,Araku (ST),6,NIMMAKA JAYARAJU,Independent,8798.0,664.0,9462.0,0.81,0.81,Andhra Pradesh,Andhra Pradesh,2024,6
7,Andhra Pradesh,1,Araku (ST),7,ATHIDHI,Independent,8121.0,15.0,8136.0,0.7,0.7,Andhra Pradesh,Andhra Pradesh,2024,7
8,Andhra Pradesh,1,Araku (ST),8,CHANTI BADNAINA,Jai Bharat National Party,7205.0,47.0,7252.0,0.62,0.62,Andhra Pradesh,Andhra Pradesh,2024,8
9,Andhra Pradesh,1,Araku (ST),9,MOTTADAM . RAJABABU,Bharat Adivasi Party,6370.0,396.0,6766.0,0.58,0.58,Andhra Pradesh,Andhra Pradesh,2024,9
10,Andhra Pradesh,1,Araku (ST),10,RANJITH KUMAR PALAKA,Independent,6000.0,47.0,6047.0,0.52,0.52,Andhra Pradesh,Andhra Pradesh,2024,10
11,Andhra Pradesh,1,Araku (ST),11,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933.0,26.0,4959.0,0.43,0.43,Andhra Pradesh,Andhra Pradesh,2024,11
12,Andhra Pradesh,1,Araku (ST),12,MANDALA GIRIDHARA RAO,Independent,4931.0,36.0,4967.0,0.43,0.43,Andhra Pradesh,Andhra Pradesh,2024,12
