Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year,state_raw,state_canonical,election_year_clean
Adilabad,36,GEN,Andhra Pradesh,G. Narayan Reddy,Indian National Congress,404283.0,220383.0,54.5,89085.0,40.4,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Adoni,27,GEN,Andhra Pradesh,Pendekanti Venkatasubbaiah,Indian National Congress,419077.0,252379.0,60.2,33022.0,13.1,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Agra,433,GEN,Uttar Pradesh [1947 - 1999],Seth Achal Singh,Indian National Congress,433164.0,275663.0,63.6,54351.0,19.7,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Ahmedabad,120,GEN,Gujarat,Indulal Kanaiyalal Yagnik,Nutan Maha Gujarat Janta Parisha,433392.0,270346.0,62.4,21592.0,8.0,1962.0,Gujarat,Gujarat,1962
Ahmednagar,245,GEN,Maharashtra,Motilal Kundanmal Firodya,Indian National Congress,403913.0,222091.0,55.0,14038.0,6.3,1962.0,Maharashtra,Maharashtra,1962
Ajmer,346,GEN,Rajasthan,Mukatbehari Lal,Indian National Congress,432778.0,241488.0,55.8,32143.0,13.3,1962.0,Rajasthan,Rajasthan,1962
Akbarpur,386,SC,Uttar Pradesh [1947 - 1999],Panna Lal,Indian National Congress,430435.0,216781.0,50.4,45246.0,20.9,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Akola,254,GEN,Maharashtra,Mohammad Mohibbul Haq Mohammad Anwarul Haqm,Indian National Congress,450141.0,303530.0,67.4,47169.0,15.5,1962.0,Maharashtra,Maharashtra,1962
Aligarh,436,GEN,Uttar Pradesh [1947 - 1999],B. P. Maurya,Republican Party,466414.0,255696.0,54.8,3025.0,1.2,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Allahabad,416,GEN,Uttar Pradesh [1947 - 1999],Lal Bahadur Shastri,Indian National Congress,446090.0,245210.0,55.0,68533.0,27.9,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Almora,362,GEN,Uttar Pradesh [1947 - 1999],Jang Bahadur Singh,Indian National Congress,401359.0,109588.0,27.3,26998.0,24.6,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Alwar,342,GEN,Rajasthan,Kashi Ram,Independent,451563.0,283094.0,62.7,23116.0,8.2,1962.0,Rajasthan,Rajasthan,1962
Amalapruam,9,SC,Andhra Pradesh,Bayya Suryanarayana Murthy,Indian National Congress,478247.0,336739.0,70.4,12570.0,3.7,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Ambala,318,SC,Punjab,Chuni Lal,Indian National Congress,439952.0,271449.0,61.7,35834.0,13.2,1962.0,Punjab,Punjab,1962
Ambalapuzha,143,GEN,Kerala,P. K. Vasudevan Nair,Communist Party Of India,445802.0,334846.0,75.1,11233.0,3.4,1962.0,Kerala,Kerala,1962
Amravati,255,GEN,Maharashtra,Panjabrao Shamrao Deshmukh,Indian National Congress,475329.0,349649.0,73.6,60372.0,17.3,1962.0,Maharashtra,Maharashtra,1962
Amreli,114,GEN,Gujarat,Jayaben Vajubhai Shah,Indian National Congress,418212.0,226282.0,54.1,65018.0,28.7,1962.0,Gujarat,Gujarat,1962
Amritsar,332,GEN,Punjab,Gurmukh Singh,Indian National Congress,457869.0,322823.0,70.5,14416.0,4.5,1962.0,Punjab,Punjab,1962
Amroha,365,GEN,Uttar Pradesh [1947 - 1999],Hifzul Rahman,Indian National Congress,423038.0,235491.0,55.7,17192.0,7.3,1962.0,Uttar Pradesh [1947 - 1999],Uttar Pradesh [1947 - 1999],1962
Anakapalli,5,GEN,Andhra Pradesh,Missula Suryanarayanamurthy,Indian National Congress,427862.0,265407.0,62.0,16010.0,6.0,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Anand,122,GEN,Gujarat,Kumar Narendrasinh Ranjitsinh Mahida,Swatantra,472873.0,326364.0,69.0,22729.0,7.0,1962.0,Gujarat,Gujarat,1962
Anantpur,25,GEN,Andhra Pradesh,Osman Ali Khan,Indian National Congress,467475.0,301105.0,64.4,24868.0,8.3,1962.0,Andhra Pradesh,Andhra Pradesh,1962
Angul,307,GEN,Orissa,Harekrushna Mahtab,Indian National Congress,445165.0,,,,,1962.0,Orissa,Odisha,1962
Aruppukkottai,220,GEN,Madras,U. Muthu Ramalinga Thevar,Forward Block,496604.0,350870.0,70.7,19853.0,5.7,1962.0,Madras,Tamil Nadu,1962
