Assembly,State_Name,Party_Name,Party_Type,Party_ID,Frequent_Abbreviation,Last_Abbreviation,Abbreviations,Start_Year,Last_Year,No_Assemblies_Contested,Assemblies_Contested,Candidates_Contested,Candidates_Represented,Females_Contested,Females_Represented,SC_Seats_Contested,SC_Seats_Represented,ST_Seats_Contested,ST_Seats_Represented,BiPoll_Contested,party_canonical,party_abbr_clean,state_raw,state_canonical,party_type_clean,active_1952_2024
Lok_Sabha,All_States,CONGRESS,National Party,3482.0,INC,INC,INC|INC(I),1962.0,2019.0,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,7392,3307,676,277,1091,440,585,293,235,INC,INC,All_States,All_States,National Party,True
Lok_Sabha,All_States,Bharatiya Janata Party,National Party,1605.0,BJP,BJP,BJP,1981.0,2019.0,11,7|8|9|10|11|12|13|14|15|16|17,3904,1601,309,161,548,228,349,144,114,BJP,BJP,All_States,All_States,National Party,True
Lok_Sabha,All_States,COMMUNIST MARXIST PARTY OF INDIA,State-based Party,14635.0,CPM,CPIM,CPM|CPI(M)|CPI (M)|CPI(Marxist),1965.0,2019.0,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1003,370,78,30,154,69,76,21,20,CPM,CPM,All_States,All_States,State-based Party,True
Lok_Sabha,All_States,Bharatiya Lok Dal,National Party,1711.0,BLD,BLD,BLD,1977.0,1977.0,1,6,405,295,13,8,56,45,30,20,0,BLD,BLD,All_States,All_States,National Party,True
Lok_Sabha,All_States,Janata Dal,National Party,4217.0,JD,JD,JD,1989.0,1998.0,4,9|10|11|12,949,255,40,9,143,49,83,9,6,JD,JD,All_States,All_States,National Party,True
Lok_Sabha,All_States,Communist Part of India,State-based Party,2444.0,CPI,CPI,CPI|CP,1962.0,2019.0,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1011,171,52,12,130,21,87,6,20,CPI,CPI,All_States,All_States,State-based Party,True
Lok_Sabha,All_States,DRAVIDA MUMMETRA KAZHAGAM,State-based Party,10192.0,DMK,DMK,DMK,1962.0,2019.0,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,350,170,16,6,62,32,0,0,5,DMK,DMK,All_States,All_States,State-based Party,True
Lok_Sabha,All_States,Independent,Independents,10809.0,IND,IND,IND|IIND|INDEPENDENT,1962.0,2019.0,15,3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,48702,168,1827,8,4640,10,1449,29,1615,IND,IND,All_States,All_States,Independents,True
Lok_Sabha,All_States,Samajwadi Party,State-based Party,7425.0,SP,SP,SP,1992.0,2019.0,8,10|11|12|13|14|15|16|17,1141,144,110,16,184,32,49,0,37,SP,SP,All_States,All_States,State-based Party,True
Lok_Sabha,All_States,Telugu Desam,State-based Party,8300.0,TDP,TDP,TDP|TD,1984.0,2019.0,10,8|9|10|11|12|13|14|15|16|17,338,135,28,9,52,22,11,4,12,TDP,TDP,All_States,All_States,State-based Party,True
