fiscal_year,state,state_size,gdp_share,unit,notes,election_year_clean,state_raw,state_canonical,gdp_share_pct
2023-24,Andhra Pradesh,Large,9.7,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together,2023,Andhra Pradesh,Andhra Pradesh,969.9999999999999
2023-24,Assam,Large,1.9,gdp_share in percentage,,2023,Assam,Assam,190.0
2023-24,Bihar,Large,4.3,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together,2023,Bihar,Bihar,430.0
2023-24,Chhattisgarh,Large,1.7,gdp_share in percentage,,2023,Chhattisgarh,Chhattisgarh,170.0
2023-24,Delhi,Large,3.6,gdp_share in percentage,,2023,Delhi,Delhi,360.0
2023-24,Andaman and Nicobar Islands,Small,0.04,gdp_share in percentage,gdp_share: data is for 2022-23,2023,Andaman and Nicobar Islands,Andaman and Nicobar Islands,4.0
2023-24,Arunachal Pradesh,Small,0.1,gdp_share in percentage,gdp_share: data is for 2022-23,2023,Arunachal Pradesh,Arunachal Pradesh,10.0
2023-24,Chandigarh,Small,0.2,gdp_share in percentage,gdp_share: data is for 2022-23,2023,Chandigarh,Chandigarh,20.0
2023-24,Goa,Small,0.3,gdp_share in percentage,gdp_share: data is for 2022-23,2023,Goa,Goa,30.0
2023-24,Gujarat,Large,8.1,gdp_share in percentage,gdp_share: data is for 2022-23,2023,Gujarat,Gujarat,810.0
2023-24,Haryana,Large,3.6,gdp_share in percentage,,2023,Haryana,Haryana,360.0
2023-24,Himachal Pradesh,Small,0.7,gdp_share in percentage,,2023,Himachal Pradesh,Himachal Pradesh,70.0
2023-24,Jammu and Kashmir,Small,0.8,gdp_share in percentage,,2023,Jammu and Kashmir,Jammu and Kashmir,80.0
2023-24,Jharkhand,Large,1.5,gdp_share in percentage,,2023,Jharkhand,Jharkhand,150.0
2023-24,Karnataka,Large,8.2,gdp_share in percentage,,2023,Karnataka,Karnataka,819.9999999999999
2023-24,Kerala,Large,3.8,gdp_share in percentage,,2023,Kerala,Kerala,380.0
2023-24,Madhya Pradesh,Large,6.1,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together,2023,Madhya Pradesh,Madhya Pradesh,610.0
2023-24,Maharashtra,Large,13.3,gdp_share in percentage,,2023,Maharashtra,Maharashtra,1330.0
2023-24,Manipur,Small,0.1,gdp_share in percentage,gdp_share: data is for 2022-23,2023,Manipur,Manipur,10.0
2023-24,Meghalaya,Small,0.2,gdp_share in percentage,,2023,Meghalaya,Meghalaya,20.0
2023-24,Mizoram,Small,0.1,gdp_share in percentage,gdp_share: data is for 2022-23,2023,Mizoram,Mizoram,10.0
2023-24,Nagaland,Small,0.1,gdp_share in percentage,gdp_share: data is for 2022-23,2023,Nagaland,Nagaland,10.0
2023-24,Odisha,Large,2.8,gdp_share in percentage,,2023,Odisha,Odisha,280.0
2023-24,Punjab,Large,2.4,gdp_share in percentage,,2023,Punjab,Punjab,240.0
2023-24,Rajasthan,Large,5.0,gdp_share in percentage,,2023,Rajasthan,Rajasthan,500.0
2023-24,Tamil Nadu,Large,8.9,gdp_share in percentage,,2023,Tamil Nadu,Tamil Nadu,890.0
2023-24,Telangana,Large,4.9,gdp_share in percentage,,2023,Telangana,Telangana,490.00000000000006
2023-24,Uttar Pradesh,Large,9.5,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together,2023,Uttar Pradesh,Uttar Pradesh,950.0
2023-24,Uttarakhand,Large,1.1,gdp_share in percentage,,2023,Uttarakhand,Uttarakhand,110.00000000000001
2023-24,West Bengal,Large,5.6,gdp_share in percentage,,2023,West Bengal,West Bengal,560.0
2023-24,Puducherry,Small,0.2,gdp_share in percentage,,2023,Puducherry,Puducherry,20.0
2023-24,Sikkim,Small,0.2,gdp_share in percentage,,2023,Sikkim,Sikkim,20.0
2023-24,Tripura,Small,0.3,gdp_share in percentage,,2023,Tripura,Tripura,30.0
2023-24,Andhra Pradesh,Large,4.7,gdp_share in percentage,,2023,Andhra Pradesh,Andhra Pradesh,470.0
2023-24,Bihar,Large,2.8,gdp_share in percentage,,2023,Bihar,Bihar,280.0
2023-24,Madhya Pradesh,Large,4.5,gdp_share in percentage,,2023,Madhya Pradesh,Madhya Pradesh,450.0
2023-24,Uttar Pradesh,Large,8.4,gdp_share in percentage,,2023,Uttar Pradesh,Uttar Pradesh,840.0
2020-21,Andhra Pradesh,Large,9.5,gdp_share in percentage,gdp_share: Data for Andhra Pradesh and Telangana Together,2020,Andhra Pradesh,Andhra Pradesh,950.0
2020-21,Assam,Large,1.7,gdp_share in percentage,,2020,Assam,Assam,170.0
2020-21,Bihar,Large,4.3,gdp_share in percentage,gdp_share:Data for Bihar and Jharkhand Together,2020,Bihar,Bihar,430.0
2020-21,Chhattisgarh,Large,1.7,gdp_share in percentage,,2020,Chhattisgarh,Chhattisgarh,170.0
2020-21,Delhi,Large,3.7,gdp_share in percentage,,2020,Delhi,Delhi,370.0
2020-21,Gujarat,Large,8.0,gdp_share in percentage,,2020,Gujarat,Gujarat,800.0
2020-21,Haryana,Large,3.6,gdp_share in percentage,,2020,Haryana,Haryana,360.0
2020-21,Jharkhand,Large,1.5,gdp_share in percentage,,2020,Jharkhand,Jharkhand,150.0
2020-21,Karnataka,Large,8.1,gdp_share in percentage,,2020,Karnataka,Karnataka,810.0
2020-21,Kerala,Large,3.8,gdp_share in percentage,,2020,Kerala,Kerala,380.0
2020-21,Madhya Pradesh,Large,6.4,gdp_share in percentage,gdp_share:Data for Madhya Pradesh and Chhattisgarh Together,2020,Madhya Pradesh,Madhya Pradesh,640.0
2020-21,Maharashtra,Large,13.0,gdp_share in percentage,,2020,Maharashtra,Maharashtra,1300.0
2020-21,Odisha,Large,2.7,gdp_share in percentage,,2020,Odisha,Odisha,270.0
2020-21,Punjab,Large,2.7,gdp_share in percentage,,2020,Punjab,Punjab,270.0
2020-21,Rajasthan,Large,5.1,gdp_share in percentage,,2020,Rajasthan,Rajasthan,509.99999999999994
2020-21,Tamil Nadu,Large,8.9,gdp_share in percentage,,2020,Tamil Nadu,Tamil Nadu,890.0
2020-21,Telangana,Large,4.7,gdp_share in percentage,,2020,Telangana,Telangana,470.0
2020-21,Uttar Pradesh,Large,9.3,gdp_share in percentage,gdp_share:Data for Uttar Pradesh and Uttarakhand Together,2020,Uttar Pradesh,Uttar Pradesh,930.0000000000001
2020-21,Uttarakhand,Large,1.1,gdp_share in percentage,,2020,Uttarakhand,Uttarakhand,110.00000000000001
2020-21,West Bengal,Large,5.7,gdp_share in percentage,,2020,West Bengal,West Bengal,570.0
2020-21,Andaman and Nicobar Islands,Small,0.05,gdp_share in percentage,,2020,Andaman and Nicobar Islands,Andaman and Nicobar Islands,5.0
2020-21,Arunachal Pradesh,Small,0.2,gdp_share in percentage,,2020,Arunachal Pradesh,Arunachal Pradesh,20.0
2020-21,Chandigarh,Small,0.2,gdp_share in percentage,,2020,Chandigarh,Chandigarh,20.0
2020-21,Goa,Small,0.4,gdp_share in percentage,,2020,Goa,Goa,40.0
2020-21,Himachal Pradesh,Small,0.8,gdp_share in percentage,,2020,Himachal Pradesh,Himachal Pradesh,80.0
2020-21,Jammu and Kashmir,Small,0.8,gdp_share in percentage,,2020,Jammu and Kashmir,Jammu and Kashmir,80.0
2020-21,Manipur,Small,0.1,gdp_share in percentage,,2020,Manipur,Manipur,10.0
