Unnamed: 0,id,state,constitution,election_year,candidate,gender,party,age,category,votes_received,votes_received_perc,num_seats,state_pc_year,rank,result,election_year_clean,vote_share_pct,state_raw,state_canonical,vote_share_lag1,vote_swing,vote_share_lag2,is_winner,is_incumbent,vote_share_frac,vote_share_frac_sq,fragmentation_index,alliance,coalition_strength_score,gdp_share_pct,literacy_persons_pct,gdp_zscore,literacy_zscore
65157,2859.0,TAMIL NADU,TIRUCHENDUR,1980 (7th LOK SABHA),ANATHAN,M,IND,,,75020.0,17.08%,1,TAMIL NADU-TIRUCHENDUR-1980 (7th LOK SABHA),3,2nd runner up,1980,17.08,TAMIL NADU,Tamil Nadu,0.16,16.919999999999998,0.35,0,0,0.1707999999999999,0.0291726399999999,2.737468328517989,Unaffiliated,99.99,690.0,34.45,-0.6522324503269077,-1.2078779841260325
65158,2861.0,TAMIL NADU,TIRUCHENDUR,1980 (7th LOK SABHA),KANAKASABAI ALIAS MOSES,M,IND,,,3390.0,0.77%,1,TAMIL NADU-TIRUCHENDUR-1980 (7th LOK SABHA),5,loser,1980,0.77,TAMIL NADU,Tamil Nadu,17.08,-16.31,0.16,0,0,0.0077,5.929e-05,2.737468328517989,Unaffiliated,99.99,690.0,34.45,-0.6522324503269077,-1.2078779841260325
65159,2862.0,TAMIL NADU,TIRUCHENDUR,1980 (7th LOK SABHA),"ALAGAPPAN, P.",M,IND,,,2200.0,0.50%,1,TAMIL NADU-TIRUCHENDUR-1980 (7th LOK SABHA),6,loser,1980,0.5,TAMIL NADU,Tamil Nadu,0.77,-0.27,17.08,0,0,0.005,2.5e-05,2.737468328517989,Unaffiliated,99.99,690.0,34.45,-0.6522324503269077,-1.2078779841260325
65160,2863.0,TAMIL NADU,TIRUCHENDUR,1980 (7th LOK SABHA),"HARIHARA IYER, N.",M,IND,,,1666.0,0.38%,1,TAMIL NADU-TIRUCHENDUR-1980 (7th LOK SABHA),7,loser,1980,0.38,TAMIL NADU,Tamil Nadu,0.5,-0.12,0.77,0,0,0.0038,1.444e-05,2.737468328517989,Unaffiliated,99.99,690.0,34.45,-0.6522324503269077,-1.2078779841260325
65161,2864.0,TAMIL NADU,TIRUCHENDUR,1980 (7th LOK SABHA),"SHUNMUGAVVEL, E.",M,IND,,,965.0,0.22%,1,TAMIL NADU-TIRUCHENDUR-1980 (7th LOK SABHA),8,loser,1980,0.22,TAMIL NADU,Tamil Nadu,0.38,-0.16,0.5,0,0,0.0022,4.84e-06,2.737468328517989,Unaffiliated,99.99,690.0,34.45,-0.6522324503269077,-1.2078779841260325
65162,2865.0,TAMIL NADU,TIRUCHENDUR,1980 (7th LOK SABHA),DURAISSWAMY NADAR,M,IND,,,822.0,0.19%,1,TAMIL NADU-TIRUCHENDUR-1980 (7th LOK SABHA),9,loser,1980,0.19,TAMIL NADU,Tamil Nadu,0.22,-0.03,0.38,0,0,0.0019,3.61e-06,2.737468328517989,Unaffiliated,99.99,690.0,34.45,-0.6522324503269077,-1.2078779841260325
82609,3789.0,UTTAR PRADESH,SAHARANPUR,1980 (7th LOK SABHA),QABOOL CHAND,M,IND,,,5769.0,1.39%,1,UTTAR PRADESH-SAHARANPUR-1980 (7th LOK SABHA),4,loser,1980,1.39,UTTAR PRADESH,Uttar Pradesh,0.35,1.04,0.86,0,0,0.0139,0.0001932099999999,3.4791919618418925,Unaffiliated,97.12,1320.0,34.45,0.9910352690960618,-1.2078779841260325
82609,3789.0,UTTAR PRADESH,SAHARANPUR,1980 (7th LOK SABHA),QABOOL CHAND,M,IND,,,5769.0,1.39%,1,UTTAR PRADESH-SAHARANPUR-1980 (7th LOK SABHA),4,loser,1980,1.39,UTTAR PRADESH,Uttar Pradesh,0.35,1.04,0.86,0,0,0.0139,0.0001932099999999,3.4791919618418925,Unaffiliated,97.12,1320.0,34.45,0.9910352690960618,-1.2078779841260325
82610,3790.0,UTTAR PRADESH,SAHARANPUR,1980 (7th LOK SABHA),LOKI RAM,M,IND,,,5606.0,1.35%,1,UTTAR PRADESH-SAHARANPUR-1980 (7th LOK SABHA),5,loser,1980,1.35,UTTAR PRADESH,Uttar Pradesh,1.39,-0.0399999999999998,0.35,0,0,0.0135,0.00018225,3.4791919618418925,Unaffiliated,97.12,1320.0,34.45,0.9910352690960618,-1.2078779841260325
82610,3790.0,UTTAR PRADESH,SAHARANPUR,1980 (7th LOK SABHA),LOKI RAM,M,IND,,,5606.0,1.35%,1,UTTAR PRADESH-SAHARANPUR-1980 (7th LOK SABHA),5,loser,1980,1.35,UTTAR PRADESH,Uttar Pradesh,1.39,-0.0399999999999998,0.35,0,0,0.0135,0.00018225,3.4791919618418925,Unaffiliated,97.12,1320.0,34.45,0.9910352690960618,-1.2078779841260325
